"","SALE_ID","NEIGHBORHOOD_ID","BUILDING_CLASS_FINAL_ROLL","ADDRESS","APARTMENT_NUMBER","ZIP_CODE","RESIDENTIAL_UNITS","COMMERCIAL_UNITS","GROSS_SQUARE_FEET","YEAR_BUILT","SALE_PRICE","SALE_DATE","DESCRIPTION","TYPE","NEIGHBORHOOD_NAME","BOROUGH_ID"
"9687",1298289,235,"R4","233 34TH STREET","4A",11232,1,0,0,2013,1181170,2016-06-29,"CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.","RESIDENTIAL","SUNSET PARK","3"
"9688",1298290,235,"RP","233 34TH   STREET","P8",11232,0,0,0,2013,0,2016-06-29,"OUTDOOR PARKING","COMMERCIAL","SUNSET PARK","3"
"9689",1298861,235,"B9","339 54TH STREET",NA,11220,2,0,1728,1901,720000,2016-06-30,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9690",1298862,235,"C6","683 41ST STREET, 32",NA,11232,0,0,0,1924,402424,2016-06-30,"WALK-UP COOPERATIVE","RESIDENTIAL","SUNSET PARK","3"
"9691",1298863,235,"R4","5008 7TH AVENUE","2A",11220,1,0,0,0,0,2016-06-30,"CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.","RESIDENTIAL","SUNSET PARK","3"
"9692",1299443,235,"B9","161A 23RD   STREET",NA,11232,2,0,2160,1899,1025000,2016-07-01,"MISCELLANEOUS TWO FAMILY","RESIDENTIAL","SUNSET PARK","3"
"9693",1299658,235,"B2","345 20TH STREET",NA,11215,2,0,2028,1910,0,2016-07-05,"TWO FAMILY FRAME","RESIDENTIAL","SUNSET PARK","3"
"9694",1299659,235,"C0","146A 31 STREET",NA,11232,3,0,2064,1910,995000,2016-07-05,"THREE FAMILIES","RESIDENTIAL","SUNSET PARK","3"
"9695",1299660,235,"R4","233 34TH STREET","3A",11232,1,0,0,2013,534581,2016-07-05,"CONDO; RESIDENTIAL UNIT IN ELEVATOR BLDG.","RESIDENTIAL","SUNSET PARK","3"
"9696",1299661,235,"S9","5617 5TH AVENUE","6",11220,6,2,5840,1931,2150000,2016-07-05,"SINGLE OR MULTIPLE DWELLING WITH STORES OR OFFICES","MIXED","SUNSET PARK","3"
